f,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
149896229.0,3.0851517315991632,3.0942920835989587,3.1032345599987092,3.11247220839833,3.1213702275973745,3.130634809593025,3.139913120362333,3.14888573979307,3.1577645374507455,3.167154101718183,3.1760228372099966,3.1850461581022222,3.2135173413199997e-06,3.5894674735999993e-06,4.003341696e-06,4.5600147184e-06,5.7264990272e-06,9.345193324799999e-06,2.1750487466400002e-05,6.2176700988e-05,0.00018292860801799997,0.0005131051286999999,0.0013449668008799999,0.0032923128145799997
151223975.50493333,3.085151731599148,3.09429208359894,3.1032345599986866,3.1124722083983025,3.1213702275973416,3.1306348095930057,3.1399131203626265,3.1488857397972674,3.157764537493151,3.167154102068728,3.1760228396589167,3.1850461728567625,3.2419684804000004e-06,3.6212009159999997e-06,4.038362304000001e-06,4.597557320000001e-06,5.7620105012000005e-06,9.358215814399999e-06,2.16655387452e-05,6.175010878399999e-05,0.00018145866534599996,0.0005087592234,0.0013333508123599999,0.00326364030636
152563030.77799943,3.085151731599133,3.0942920835989214,3.1032345599986635,3.1124722083982745,3.1213702275973083,3.1306348095929852,3.1399131203629134,3.1488857398013907,3.15776453753481,3.1671541024134573,3.1760228420665695,3.185046187355355,3.27067606264e-06,3.653215808e-06,4.0737e-06,4.63548805e-06,5.7979459928e-06,9.3719814352e-06,2.1582255685199996e-05,6.132813030599999e-05,0.000180002938754,0.0005044489111,0.0013218310594,0.00323521765194
153914158.09712547,3.0851517315991175,3.0942920835989023,3.10323455999864,3.1124722083982457,3.1213702275972746,3.1306348095929635,3.139913120363193,3.1488857398054377,3.1577645375757406,3.1671541027518813,3.176022844431272,3.185046201601344,3.2996400880399997e-06,3.6855121495999996e-06,4.109390015999999e-06,4.6737716240000004e-06,5.8343408368e-06,9.3864548e-06,2.1500638286399996e-05,6.0911120456e-05,0.00017856107283999997,0.0005001813103999999,0.0013104182348400001,0.00320704485132
155277366.1229923,3.085151731599102,3.0942920835988827,3.103234559998616,3.1124722083982164,3.12137022759724,3.1306348095929404,3.1399131203634663,3.1488857398094097,3.1577645376159436,3.167154103084364,3.17602284675433,3.1850462155944816,3.32885704368e-06,3.7180899407999997e-06,4.145326656e-06,4.712408042000001e-06,5.871195033200001e-06,9.401671296e-06,2.14207219884e-05,6.0499079233999995e-05,0.00017713342300599996,0.000495952862,0.0012991087744,0.00317912904318
156651839.58197257,3.085151731599086,3.0942920835988628,3.1032345599985915,3.112472208398187,3.121370227597205,3.130634809592917,3.1399131203637327,3.14888573981331,3.1577645376554484,3.1671541034109856,3.176022849037018,3.18504622934521,3.3583304424800002e-06,3.7509843627999997e-06,4.181650848e-06,4.7514325884e-06,5.908508582e-06,9.417595535999998e-06,2.1342435912e-05,6.009165173799999e-05,0.00017571927844799997,0.0004917635658999999,0.0012878991138000001,0.0031514559501599998
158039198.71372467,3.0851517315990695,3.094292083598843,3.1032345599985667,3.112472208398157,3.121370227597169,3.1306348095928915,3.1399131203639925,3.1488857398171444,3.157764537694254,3.167154103732096,3.1760228512805813,3.185046242856693,3.3880708231999997e-06,3.7841602344e-06,4.218256896e-06,4.790809978800001e-06,5.946281483200001e-06,9.434262907199998e-06,2.1265850936399998e-05,5.9688483065999984e-05,0.000174318994568,0.0004876098628,0.0012767856887599999,0.00312402557226
159439479.0165347,3.085151731599053,3.094292083598822,3.1032345599985414,3.112472208398126,3.1213702275971325,3.1306348095928653,3.139913120364246,3.148885739820906,3.157764537732379,3.167154104047223,3.176022853484104,3.1850462561303297,3.4180676470799997e-06,3.8176175556e-06,4.255215264e-06,4.8305754976e-06,5.9845137368000005e-06,9.4516734096e-06,2.1190896182399997e-05,5.929028302199999e-05,0.00017293221596399996,0.00048349887130000004,0.00126577562784,0.00309684147882
160850985.35779247,3.085151731599036,3.094292083598801,3.1032345599985156,3.1124722083980947,3.121370227597095,3.130634809592838,3.139913120364493,3.148885739824599,3.1577645377698422,3.167154104357257,3.176022855648828,3.185046269170994,3.4483314528799997e-06,3.8513563264e-06,4.29249072e-06,4.8706938604e-06,6.0232053428e-06,9.469791656e-06,2.111757165e-05,5.889669670399999e-05,0.00017155858723399997,0.00047941991349999995,0.00125486536676,0.0030699001005
162275408.54051304,3.0851517315990193,3.0942920835987797,3.10323455999849,3.1124722083980627,3.1213702275970574,3.1306348095928094,3.1399131203647337,3.1488857398282244,3.157764537806643,3.167154104661459,3.176022857776663,3.1850462819851764,3.47886926644e-06,3.8854469092e-06,4.330083264e-06,4.911235636000001e-06,6.062391636e-06,9.488688420799998e-06,2.10459127788e-05,5.8507724111999997e-05,0.00017019846377999996,0.0004753836673,0.00124404777696,0.00304319429862
