index,D,Npart,beta_z,gamma_z,kappa_z,zeta1_z,alpha_eff,m,ar_mono,vel
88,0.002,47.0,0.349781,-2.88256,0.16221,0.13098900000000002,0.8414870000000001,3.6495023701493094e-08,0.08414870000000002,0.5550259894410595
89,0.003,62.0,0.593434,-3.21525,0.196179,0.08135139999999999,0.791081,8.482101573973507e-08,0.07910810000000001,0.6268169002741697
90,0.004,57.0,1.29168,-3.48349,0.176043,0.0687553,0.738455,1.5430359377277345e-07,0.0738455,0.683317146161595
91,0.005,59.0,1.92595,-3.6014,0.185898,0.052498800000000005,0.6899,2.4544199260479484e-07,0.06899,0.7306263354432132
92,0.006,60.0,3.9754400000000003,-3.70581,0.156773,0.0557765,0.691624,3.5862937542256307e-07,0.0691624,0.7717021249627214
93,0.007,56.0,5.12906,-3.77434,0.149065,0.0484768,0.665708,4.941913986544105e-07,0.0665708,0.8082277042583189
94,0.008,57.0,6.01971,-3.78165,0.149773,0.0484093,0.655458,6.524067293651049e-07,0.0655458,0.8412620870396392
95,0.009,65.0,7.50127,-3.78134,0.131635,0.0372474,0.65832,8.335193353006112e-07,0.065832,0.8715194299121928
96,0.01,63.0,6.510669999999999,-3.6487,0.137567,0.0325721,0.674316,1.0377464563784043e-06,0.06743160000000001,0.8995065311235806
97,0.011,59.0,9.25478,-3.67945,0.17144500000000001,0.0310649,0.677596,1.2652840813722637e-06,0.0677596,0.9255974011630549
98,0.012,52.0,7.79822,-3.5971599999999997,0.186102,0.030448700000000002,0.671269,1.5163108787876372e-06,0.0671269,0.9500767599142549
99,0.013,54.0,6.90522,-3.4809,0.151112,0.0277925,0.661562,1.7909911170971042e-06,0.0661562,0.9731668948614018
100,0.014,66.0,5.690840000000001,-3.37143,0.157152,0.0310871,0.655895,2.0894768954718916e-06,0.06558950000000001,0.9950450228082166
101,0.015,61.0,6.26994,-3.45359,0.13209,0.030637,0.643497,2.4119098875040796e-06,0.0643497,1.0158549443478424
102,0.016,59.0,8.37902,-3.47254,0.182249,0.0229519,0.639584,2.758422730890248e-06,0.06395840000000001,1.0357151186177365
103,0.017,61.0,6.4021,-3.35278,0.156486,0.0263922,0.63849,3.1291401534007907e-06,0.063849,1.0547244105103917
104,0.018,71.0,4.21884,-3.1393,0.170548,0.042044599999999994,0.657092,3.524179898277905e-06,0.06570920000000001,1.0729662772579422
105,0.019,62.0,4.321280000000001,-3.11091,0.152531,0.0436967,0.664878,3.943653494306772e-06,0.0664878,1.0905118804210447
106,0.02,62.0,4.89047,-3.05023,0.174763,0.0352122,0.678331,4.387666903682468e-06,0.06783310000000001,1.1074224405600614
107,0.021,63.0,4.83426,-3.06067,0.180336,0.0370847,0.652524,4.856321072381798e-06,0.0652524,1.123751047150056
108,0.022,56.0,3.26235,-2.9100900000000003,0.165882,0.046624900000000004,0.6728729999999999,5.3497124017824655e-06,0.0672873,1.1395440694484684
109,0.023,50.0,2.49145,-2.7942400000000003,0.129747,0.0648212,0.6724140000000001,5.86793315595886e-06,0.0672414,1.1548422702572405
