# am=1.500000000e-02, bm=2.080000000e+00, av=3.581000000e+00, bv=3.000000000e-01,
index,D,Npart,beta_z,gamma_z,kappa_z,zeta1_z,alpha_eff,m,ar_mono,vel
22,0.002,61.0,3.3752400000000002,1.98237,0.312341,1.04088,0.6195609999999999,3.6495023701493094e-08,0.06195609999999999,0.5550259894410595
23,0.003,63.0,4.4183900000000005,3.06041,0.211783,0.044626,0.624884,8.482101573973507e-08,0.0624884,0.6268169002741697
24,0.004,61.0,3.8879099999999998,2.9064799999999997,0.17177,0.040010199999999996,0.635947,1.5430359377277345e-07,0.0635947,0.683317146161595
25,0.005,88.0,3.5610199999999996,2.84919,0.161945,0.0457348,0.648576,2.4544199260479484e-07,0.0648576,0.7306263354432132
26,0.006,99.0,2.04488,2.55698,0.165554,0.0698692,0.658154,3.5862937542256307e-07,0.06581540000000001,0.7717021249627214
27,0.007,105.0,1.1830399999999999,2.26017,0.158345,0.07176619999999999,0.6459199999999999,4.941913986544105e-07,0.064592,0.8082277042583189
28,0.008,76.0,1.20194,2.2927299999999997,0.14746099999999998,0.0701195,0.639843,6.524067293651049e-07,0.06398430000000001,0.8412620870396392
29,0.009,66.0,1.01262,2.23481,0.145582,0.0753408,0.6563180000000001,8.335193353006112e-07,0.0656318,0.8715194299121928
30,0.01,63.0,0.8031149999999999,2.12281,0.146323,0.09572339999999999,0.651215,1.0377464563784043e-06,0.0651215,0.8995065311235806
31,0.011,60.0,0.810822,2.1459599999999996,0.16328800000000002,0.09877999999999999,0.639618,1.2652840813722637e-06,0.0639618,0.9255974011630549
32,0.012,55.0,0.41766499999999995,1.88163,0.17546199999999998,0.11553499999999998,0.670324,1.5163108787876372e-06,0.0670324,0.9500767599142549
33,0.013,69.0,0.509443,1.9422099999999998,0.12878399999999998,0.1342,0.676042,1.7909911170971042e-06,0.0676042,0.9731668948614018
34,0.014,60.0,0.44569899999999996,1.86132,0.152789,0.156477,0.705554,2.0894768954718916e-06,0.0705554,0.9950450228082166
35,0.015,58.0,0.482534,1.89425,0.19827999999999998,0.158665,0.7068,2.4119098875040796e-06,0.07068,1.0158549443478424
36,0.016,59.0,0.33820300000000003,1.8573,0.161177,0.169075,0.6809350000000001,2.758422730890248e-06,0.06809350000000002,1.0357151186177365
37,0.017,78.0,0.48982700000000007,1.9620400000000002,0.154691,0.140489,0.697734,3.1291401534007907e-06,0.0697734,1.0547244105103917
38,0.018,71.0,0.39773800000000004,1.8741400000000001,0.14811400000000002,0.13326400000000002,0.709616,3.524179898277905e-06,0.0709616,1.0729662772579422
39,0.019,83.0,0.276187,1.7367,0.130922,0.177539,0.714463,3.943653494306772e-06,0.0714463,1.0905118804210447
40,0.02,70.0,0.33637399999999995,1.7904,0.15012899999999998,0.174537,0.706691,4.387666903682468e-06,0.0706691,1.1074224405600614
41,0.021,55.0,0.188926,1.59925,0.155506,0.22250100000000003,0.696188,4.856321072381798e-06,0.06961880000000001,1.123751047150056
42,0.022,69.0,0.196053,1.6396,0.158448,0.163435,0.664957,5.3497124017824655e-06,0.0664957,1.1395440694484684
43,0.023,66.0,0.234104,1.6771099999999999,0.167599,0.161909,0.6808569999999999,5.86793315595886e-06,0.0680857,1.1548422702572405
