# am=1.500000000e-02, bm=2.080000000e+00, av=3.581000000e+00, bv=3.000000000e-01,
index,D,Npart,beta_z,gamma_z,kappa_z,zeta1_z,alpha_eff,m,ar_mono,vel
44,0.002,60.0,1.55213,3.07226,0.182411,0.0869703,0.665362,3.6495023701493094e-08,0.0665362,0.5550259894410595
45,0.003,62.0,7.2969,3.56225,0.198542,0.0322159,0.612052,8.482101573973507e-08,0.06120520000000001,0.6268169002741697
46,0.004,68.0,10.2762,3.60353,0.181731,0.026493400000000004,0.637847,1.5430359377277345e-07,0.06378470000000001,0.683317146161595
47,0.005,89.0,5.96689,3.20866,0.129147,0.0369585,0.6566029999999999,2.4544199260479484e-07,0.06566029999999999,0.7306263354432132
48,0.006,88.0,3.15559,2.92718,0.15598199999999998,0.0502412,0.633081,3.5862937542256307e-07,0.0633081,0.7717021249627214
49,0.007,67.0,1.9975599999999998,2.634,0.17716500000000002,0.0593757,0.646726,4.941913986544105e-07,0.06467260000000001,0.8082277042583189
50,0.008,69.0,2.17073,2.6379200000000003,0.152521,0.066577,0.642104,6.524067293651049e-07,0.0642104,0.8412620870396392
51,0.009,61.0,2.01284,2.5758799999999997,0.178857,0.07701530000000001,0.6446810000000001,8.335193353006112e-07,0.06446810000000001,0.8715194299121928
52,0.01,48.0,1.3630200000000001,2.39815,0.18021700000000002,0.06397699999999999,0.647478,1.0377464563784043e-06,0.06474780000000001,0.8995065311235806
53,0.011,55.0,1.06187,2.27041,0.149795,0.09067289999999999,0.65756,1.2652840813722637e-06,0.06575600000000001,0.9255974011630549
54,0.012,73.0,0.9047940000000001,2.2159400000000002,0.15096800000000002,0.100614,0.672471,1.5163108787876372e-06,0.0672471,0.9500767599142549
55,0.013,72.0,0.596576,2.0716900000000003,0.149342,0.116827,0.676718,1.7909911170971042e-06,0.0676718,0.9731668948614018
56,0.014,78.0,0.5098,2.00177,0.163054,0.141931,0.683335,2.0894768954718916e-06,0.0683335,0.9950450228082166
57,0.015,80.0,0.529397,1.9615099999999999,0.141562,0.14857,0.690095,2.4119098875040796e-06,0.0690095,1.0158549443478424
58,0.016,83.0,0.43754099999999996,1.93602,0.16223900000000002,0.142948,0.655613,2.758422730890248e-06,0.0655613,1.0357151186177365
59,0.017,84.0,0.494393,2.001,0.15268900000000002,0.153977,0.650324,3.1291401534007907e-06,0.0650324,1.0547244105103917
60,0.018,87.0,0.488933,1.9989599999999998,0.159053,0.161022,0.664763,3.524179898277905e-06,0.0664763,1.0729662772579422
61,0.019,88.0,0.370304,1.86064,0.13689,0.165634,0.689651,3.943653494306772e-06,0.0689651,1.0905118804210447
62,0.02,69.0,0.310585,1.8039900000000002,0.158447,0.160108,0.691126,4.387666903682468e-06,0.06911260000000001,1.1074224405600614
63,0.021,73.0,0.349852,1.86152,0.168489,0.154033,0.689972,4.856321072381798e-06,0.06899720000000001,1.123751047150056
64,0.022,76.0,0.398431,1.92786,0.151516,0.150334,0.687778,5.3497124017824655e-06,0.0687778,1.1395440694484684
65,0.023,86.0,0.363322,1.88766,0.157924,0.193218,0.6902189999999999,5.86793315595886e-06,0.0690219,1.1548422702572405
