# am=1.500000000e-02, bm=2.080000000e+00, av=3.581000000e+00, bv=3.000000000e-01,
index,D,Npart,beta_z,gamma_z,kappa_z,zeta1_z,alpha_eff,m,ar_mono,vel
110,0.002,1060.0,6.14126,3.66289,0.15417899999999998,0.031351699999999996,0.689279,3.6495023701493094e-08,0.0689279,0.5550259894410595
111,0.003,37.0,0.490839,3.03213,0.144772,0.113229,0.8895290000000001,8.482101573973507e-08,0.08895290000000002,0.6268169002741697
112,0.004,69.0,0.649321,3.17675,0.157151,0.0732795,0.858665,1.5430359377277345e-07,0.08586650000000001,0.683317146161595
113,0.005,68.0,0.9667020000000001,3.3914199999999997,0.154327,0.044523099999999996,0.815905,2.4544199260479484e-07,0.08159050000000001,0.7306263354432132
114,0.006,64.0,1.16343,3.4653199999999997,0.143007,0.0553414,0.761442,3.5862937542256307e-07,0.0761442,0.7717021249627214
115,0.007,58.0,1.3535,3.55997,0.160176,0.0516869,0.7066899999999999,4.941913986544105e-07,0.070669,0.8082277042583189
116,0.008,48.0,1.80686,3.6257300000000003,0.149996,0.06718260000000001,0.67806,6.524067293651049e-07,0.067806,0.8412620870396392
117,0.009,64.0,2.05876,3.5909400000000002,0.14410799999999999,0.08314810000000002,0.690679,8.335193353006112e-07,0.0690679,0.8715194299121928
118,0.01,74.0,2.8733400000000002,3.6680599999999997,0.15190399999999998,0.0611379,0.693969,1.0377464563784043e-06,0.0693969,0.8995065311235806
119,0.011,71.0,2.71217,3.58396,0.159545,0.0615156,0.680128,1.2652840813722637e-06,0.0680128,0.9255974011630549
120,0.012,57.0,3.77051,3.6425300000000003,0.11311199999999999,0.056360400000000005,0.6808569999999999,1.5163108787876372e-06,0.0680857,0.9500767599142549
121,0.013,61.0,4.38799,3.7261900000000003,0.156744,0.05767819999999999,0.658602,1.7909911170971042e-06,0.06586020000000001,0.9731668948614018
122,0.014,70.0,4.55854,3.7475400000000003,0.165965,0.0467347,0.631713,2.0894768954718916e-06,0.0631713,0.9950450228082166
123,0.015,62.0,5.1810599999999996,3.73052,0.13129200000000002,0.0360879,0.637289,2.4119098875040796e-06,0.0637289,1.0158549443478424
124,0.016,53.0,9.2707,3.8666699999999996,0.129949,0.0256118,0.650507,2.758422730890248e-06,0.0650507,1.0357151186177365
125,0.017,65.0,7.464169999999999,3.72384,0.12055,0.025988099999999997,0.677281,3.1291401534007907e-06,0.0677281,1.0547244105103917
126,0.018,71.0,7.737989999999999,3.7193099999999997,0.156505,0.028741900000000004,0.682674,3.524179898277905e-06,0.0682674,1.0729662772579422
127,0.019,91.0,8.2498,3.6891,0.161044,0.029326099999999997,0.690118,3.943653494306772e-06,0.0690118,1.0905118804210447
128,0.02,70.0,10.581,3.74514,0.17087,0.022137200000000003,0.699869,4.387666903682468e-06,0.0699869,1.1074224405600614
129,0.021,62.0,10.5143,3.7354800000000004,0.14643599999999998,0.0253319,0.673299,4.856321072381798e-06,0.0673299,1.123751047150056
130,0.022,61.0,10.4289,3.68565,0.16430999999999998,0.0243838,0.676579,5.3497124017824655e-06,0.0676579,1.1395440694484684
131,0.023,62.0,12.5503,3.7696300000000003,0.15676500000000002,0.0236263,0.650541,5.86793315595886e-06,0.0650541,1.1548422702572405
